scene,node_id,token,section,speaker,text,delivery,portraitAssetId
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:0,main,Baby Momma,"Everybody who came up here for a picture, go downstairs. Everybody who came back from the dead, remain available.",present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:1,main,Snitch,I can leave one phone as a courtesy—,present-day speech,assets/characters/snitch.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:2,main,Wifey,You can leave a shoe if you don't move.,present-day speech,assets/characters/wifey.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:3,main,Ganger Red,Original recorder. Original message. I kept it.,present-day speech,assets/characters/ganger-red.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:4,main,Baby Momma,You also kept your mouth shut. Press play before I start grading the collection.,present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:5,main,Cracked Head,Red. You said the baby's here. Tell her I heard you. Tell her I'm alive. Tell her I'll call when I can.,"archival recording; same voice, narrow speaker sound",assets/characters/cracked-head.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:6,main,Baby Momma,That is your voice. Three weeks after the memorial. Our baby was nine days old.,present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:7,main,Cracked Head,I know what it sounds like.,present-day speech,assets/characters/cracked-head.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:8,main,Baby Momma,It sounds like a man who knew he was a father. Which part needs remixing?,present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:9,main,Ganger Blue,Red. You had this while we were checking on her?,present-day speech,assets/characters/ganger-blue.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:10,main,Ganger Red,Yes.,present-day speech,assets/characters/ganger-red.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:11,main,Baby Momma,You watched me say thank you. Over and over. Like you was a damn guardian angel with a rewards program.,present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:12,main,Ganger Red,The groceries came from him. Some of the money did too.,present-day speech,assets/characters/ganger-red.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:13,main,Cracked Head,I told him to tell you.,present-day speech,assets/characters/cracked-head.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:14,main,Baby Momma,"And when my number didn't call you back, did you assume I was busy for FOUR YEARS?",present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:15,main,Wifey,She asked you a question.,present-day speech,assets/characters/wifey.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:16,main,Cracked Head,No. I should have found another way.,present-day speech,assets/characters/cracked-head.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:17,main,Baby Momma,Good. A full sentence with a responsible adult in it.,present-day speech,assets/characters/baby-momma.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:18,main,Ganger Red,There's more to why I kept it.,present-day speech,assets/characters/ganger-red.webp
1,red-tapes-open-the-envelope,red-tapes-open-the-envelope:main:19,main,Baby Momma,Then tomorrow you can explain the rest. I'm going home to the person who actually waited up for me.,present-day speech,assets/characters/baby-momma.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:0,pre,Ganger Blue,"NO FAMILY QUESTIONS? What is this, a tournament or a witness stand with chicken?",present-day speech,assets/characters/ganger-blue.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:1,pre,Ganger Red,The event was booked before last night.,present-day speech,assets/characters/ganger-red.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:2,pre,Cornball,"And I already bought six gallons of cheese. Whatever happens, we need attendance.",present-day speech,assets/characters/cornball.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:3,pre,Ganger Red,"Six tables. Clear the Gauntlet, you host the next neighborhood showcase. Open entry stays open.",present-day speech,assets/characters/ganger-red.webp
2,red-tapes-red-side-open,red-tapes-red-side-open:pre:4,pre,Ganger Blue,Look at you announcing rules like you ain't been hiding a whole season in your notebook.,present-day speech,assets/characters/ganger-blue.webp
