shot_id,clip_id,camera,action,line_tokens,duration
ch01_s01_pre_sh01,ch01_s01_pre,Wide push-in,Reveal dead karaoke mic and vending-machine press conference.,welcome-to-the-block:pre:0,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s01_pre_sh02,ch01_s01_pre,Blue/Cornball two-shot,Blue inspects the newcomer; Cornball indicts the covered OPEN sign.,welcome-to-the-block:pre:1 | welcome-to-the-block:pre:2 | welcome-to-the-block:pre:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s01_pre_sh03,ch01_s01_pre,Alternating medium and reaction,"Challenge terms, district rule, bass-in-the-car roast. Finish on deck/table handoff.",welcome-to-the-block:pre:4 | welcome-to-the-block:pre:5 | welcome-to-the-block:pre:6 | welcome-to-the-block:pre:7,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s01_post_sh04,ch01_s01_post,"Medium reaction, then prop insert",Blue swallows the loss; jacket yanks off sign; drink drops halfway and stops.,welcome-to-the-block:post:0 | welcome-to-the-block:post:1 | welcome-to-the-block:post:2 | welcome-to-the-block:post:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s02_pre_sh01,ch01_s02_pre,Wide throne reveal into Wifey close-up,Wifey dismantles folding-chair royalty and exposes bathroom electricity.,blue-side-pressure:pre:0 | blue-side-pressure:pre:1 | blue-side-pressure:pre:2 | blue-side-pressure:pre:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s02_pre_sh02,ch01_s02_pre,Low Blue angle interrupted by Wifey,"Crown is scheduling authority, not ownership; hold the puncture of his grandeur.",blue-side-pressure:pre:4 | blue-side-pressure:pre:5 | blue-side-pressure:pre:6,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s02_post_sh03,ch01_s02_post,Shared medium with board insert,Wifey writes the result in ink; Blue redirects embarrassment toward Red.,blue-side-pressure:post:0 | blue-side-pressure:post:1 | blue-side-pressure:post:2 | blue-side-pressure:post:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s02_post_sh04,ch01_s02_post,Silent button shot,Chair creaks; Blue carries cables; hair dryer flickers the lights.,,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s03_pre_sh01,ch01_s03_pre,Wide fake courtroom into phone insert,Thumb joke; ring-light adjustment; Red demands both sides in frame.,receipts-on-camera:pre:0 | receipts-on-camera:pre:1 | receipts-on-camera:pre:2,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s03_pre_sh02,ch01_s03_pre,Barrier insert and alternating close-ups,"State actual middle-district round-two rule, then courtroom roast and challenge.",receipts-on-camera:pre:3 | receipts-on-camera:pre:4 | receipts-on-camera:pre:5 | receipts-on-camera:pre:6,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s03_post_sh03,ch01_s03_post,"Phone close-up, then Red reaction",Snitch pitches humiliating title; Red insists on keeping the whole match.,receipts-on-camera:post:0 | receipts-on-camera:post:1 | receipts-on-camera:post:2 | receipts-on-camera:post:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s03_post_sh04,ch01_s03_post,Silent payoff,"Ring light rotates back to table; kitchen timer rings, no food.",,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s04_pre_sh01,ch01_s04_pre,Two-shot with untouched paper plate,Auntie cookout ban and Blue community-outreach roast.,red-side-retaliation:pre:0 | red-side-retaliation:pre:1 | red-side-retaliation:pre:2,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s04_pre_sh02,ch01_s04_pre,Notebook insert and held Blue reaction,Memorial program appears; keep Cracked Head portrait consistent with supplied art. Comedy gives way to hurt.,red-side-retaliation:pre:3 | red-side-retaliation:pre:4 | red-side-retaliation:pre:5 | red-side-retaliation:pre:6,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s04_pre_sh03,ch01_s04_pre,Red returns to the table,One more match and late pressure. Cut to real gameplay.,red-side-retaliation:pre:7,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s04_post_sh04,ch01_s04_post,Medium exchange into paper insert,"Signed entry, memorial boundary, Blue leaves; Red conceals recording sleeve without comic sting.",red-side-retaliation:post:0 | red-side-retaliation:post:1 | red-side-retaliation:post:2 | red-side-retaliation:post:3 | red-side-retaliation:post:4,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s05_pre_sh01,ch01_s05_pre,Wide alley with prop inserts,Courier table and full vending-machine investigation; display window versus retrieval flap.,side-alley-challenge:pre:0 | side-alley-challenge:pre:1 | side-alley-challenge:pre:2 | side-alley-challenge:pre:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s05_pre_sh02,ch01_s05_pre,Runner medium,Optional match; cosmetic reward; no main-route promise.,side-alley-challenge:pre:4 | side-alley-challenge:pre:5,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s05_post_sh03,ch01_s05_post,Shared medium and dry reactions,Tag earned; lukewarm revenge; Snitch warning; birthday-post joke.,side-alley-challenge:post:0 | side-alley-challenge:post:1 | side-alley-challenge:post:2 | side-alley-challenge:post:3 | side-alley-challenge:post:4,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s05_post_sh04,ch01_s05_post,Silent product-label reaction,Unsweetened sparkling-water revelation; sugar packet offered and pocketed.,,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s06_pre_sh01,ch01_s06_pre,Low media-desk reveal,Reveal Snitch sitting on unopened air-fryer box; Red demands sheet and source.,snitch-at-the-corner:pre:0 | snitch-at-the-corner:pre:1 | snitch-at-the-corner:pre:2 | snitch-at-the-corner:pre:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s06_pre_sh02,ch01_s06_pre,"Phone insert, then two-shot",Returning-customer evasion and exact round-four +2 Motion warning.,snitch-at-the-corner:pre:4 | snitch-at-the-corner:pre:5 | snitch-at-the-corner:pre:6 | snitch-at-the-corner:pre:7,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s06_post_sh03,ch01_s06_post,Tight dialogue coverage,Slot posted; other finalist identity withheld; voice-note/deposit contract gag.,snitch-at-the-corner:post:0 | snitch-at-the-corner:post:1 | snitch-at-the-corner:post:2 | snitch-at-the-corner:post:3 | snitch-at-the-corner:post:4,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s06_post_sh04,ch01_s06_post,"Hold on stair landing, no entrant face",Broken organ flourish and footsteps; Red stills; Snitch grabs phones. Reveal belongs in Scene 7.,,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s07_pre_sh01,ch01_s07_pre,"Grand entrance wide, then held Blue close-up","Gift-wrap carpet, fish-fry smoke, organ/BATTERY LOW; Blue recognizes brother and erupts over memorial shirts.",cracked-head-takes-the-block:pre:0 | cracked-head-takes-the-block:pre:1 | cracked-head-takes-the-block:pre:2 | cracked-head-takes-the-block:pre:3 | cracked-head-takes-the-block:pre:4,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s07_pre_sh02,ch01_s07_pre,Triangular coverage,Red demands camera down; Snitch has two phones; Blue names four-year absence.,cracked-head-takes-the-block:pre:5 | cracked-head-takes-the-block:pre:6 | cracked-head-takes-the-block:pre:7 | cracked-head-takes-the-block:pre:8,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s07_pre_sh03,ch01_s07_pre,Rival medium into empty finalist chair,Cracked claims block; Red upholds player-earned chair; challenge into gameplay.,cracked-head-takes-the-block:pre:9 | cracked-head-takes-the-block:pre:10 | cracked-head-takes-the-block:pre:11,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s07_post_sh04,ch01_s07_post,"Winner-space wide, then brothers close-up",Cracked honors defeat; church-calendar roast; let four-year wound land.,cracked-head-takes-the-block:post:0 | cracked-head-takes-the-block:post:1 | cracked-head-takes-the-block:post:2 | cracked-head-takes-the-block:post:3,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s07_post_sh05,ch01_s07_post,"Red arbitrates, then silent button","Result stands, future challenge under common rules; rejected handshake, accidental applause unplugged.",cracked-head-takes-the-block:post:4 | cracked-head-takes-the-block:post:5 | cracked-head-takes-the-block:post:6,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s08_main_sh01,ch01_s08_main,Ceremony wide and comic prop inserts,Plastic Crown on neck pillow; shared schedule; Blue offers lights; Snitch stages group shot.,block-crowned:main:0 | block-crowned:main:1 | block-crowned:main:2 | block-crowned:main:3 | block-crowned:main:4,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s08_main_sh02,ch01_s08_main,Entrance insert into Baby Momma medium,Ring light disconnected; camera boundary; dead-man-in-VIP line; Cracked starts excuse.,block-crowned:main:5 | block-crowned:main:6 | block-crowned:main:7 | block-crowned:main:8,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s08_main_sh03,ch01_s08_main,Keep Baby Momma commanding the frame,Address/pizza-man roast and smoke/church-organ takedown. Do not reveal child.,block-crowned:main:9 | block-crowned:main:10 | block-crowned:main:11,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s08_main_sh04,ch01_s08_main,"Recording envelope insert, then reaction triangle",Red admits four-year recording. Baby Momma makes them put the chairs back.,block-crowned:main:12 | block-crowned:main:13 | block-crowned:main:14 | block-crowned:main:15,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
ch01_s08_main_sh05,ch01_s08_main,Held final tableau,"Chair redirected to Red, Wifey sets water, phone face down. Cut before recording plays; Crown remains with player.",,performance-led; split into smaller generations if needed; silent beat typically 2–4 s
