scene,node_id,token,section,speaker,text,character_art,art_status
1,welcome-to-the-block,welcome-to-the-block:pre:0,pre,Cornball,This machine stole my three dollars. I am outside its place of business demanding accountability.,02_CHARACTER_ART/cornball.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:1,pre,Ganger Blue,Who you with? And don't say yourself. Everybody bringing themselves. That's the problem.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:2,pre,Ganger Blue,No Blue. No Red. You just showed up unseasoned?,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:3,pre,Cornball,"The sign says OPEN, Blue. You can't put a jacket over a vowel and start a private school.",02_CHARACTER_ART/cornball.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:4,pre,Ganger Blue,"Beat me, you get a slot. Lose, get back in line. This ain't your cousin's mixtape release. Everybody don't get a turn.",02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:5,pre,Ganger Blue,Two districts wins it. Don't make me say it twice.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:6,pre,Cornball,He said it eleven times in the car. We missed the exit because he wanted bass under it.,02_CHARACTER_ART/cornball.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:pre:7,pre,Ganger Blue,Deck. Table. Now. Before I charge your commentator a vendor fee.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:post:0,post,Ganger Blue,Okay. You got a slot. Don't be standing there looking like you just bought me.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:post:1,post,Cornball,First day outside and already somebody's supervisor. That's nasty work.,02_CHARACTER_ART/cornball.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:post:2,post,Ganger Blue,Come through Blue Side if you want more than a name on this sheet.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:post:3,post,Ganger Blue,And don't write CHAMPION in the nickname box. I know how y'all get.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
1,welcome-to-the-block,welcome-to-the-block:defeat:0,defeat,Ganger Blue,You spread that hand out like one paycheck across six bills. Pick two districts and come back.,02_CHARACTER_ART/ganger-blue.webp,existing identity reference
